,Labels,XBRLID_predicted
13544,class c1 n average annual total returns since inception average annual return,rr_AverageAnnualReturnSinceInception
13545,class c1 n average annual total returns inception date average annual return,rr_AverageAnnualReturnInceptionDate
13546,expenses class fi shares estimated current fiscal year actual expenses differ estimates,rr_OtherExpensesNewFundBasedOnEstimates
13547,return before taxes franklin real estate securities fund class average annual return,rr_AverageAnnualReturnLabel
13548,return after taxes on distributions franklin real estate securities fund class average annual return,rr_AverageAnnualReturnLabel
13549,return after taxes on distributions and sale of fund shares franklin real estate securities fund class average annual return,rr_AverageAnnualReturnLabel
13550,franklin real estate securities fund class one year average annual return,rr_AverageAnnualReturnYear01
13551,franklin real estate securities fund class five years average annual return,rr_AverageAnnualReturnYear05
13552,franklin real estate securities fund class ten years average annual return,rr_AverageAnnualReturnYear10
13553,franklin real estate securities fund class r6 one year average annual return,rr_AverageAnnualReturnYear01
13554,franklin real estate securities fund class r6 five years average annual return,rr_AverageAnnualReturnYear05
13555,franklin real estate securities fund class r6 ten years average annual return,rr_AverageAnnualReturnYear10
13556,franklin real estate securities fund advisor class one year average annual return,rr_AverageAnnualReturnYear01
13557,franklin real estate securities fund advisor class five years average annual return,rr_AverageAnnualReturnYear05
13558,franklin real estate securities fund advisor class ten years average annual return,rr_AverageAnnualReturnYear10
13559,shareholder fees fees paid directly investment class class class r6,rr_ShareholderFeesCaption
13560,annual fund operating expenses expenses pay year as percentage of value of investment class class class r6,rr_OperatingExpensesCaption
13561,average annual total returns as of one year life of fund average annual total returns as of average annual return,rr_AverageAnnualReturnCaption
13562,class return after taxes on distributions life of fund average annual return,rr_AverageAnnualReturnSinceInception
13563,class return after taxes on distributions and sale of class shares life of fund average annual return,rr_AverageAnnualReturnSinceInception
13564,class r6 return before taxes life of fund average annual return,rr_AverageAnnualReturnSinceInception
13565,s lsta leveraged loan index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
13566,s lsta leveraged loan index reflects deduction fees expenses taxes life of fund average annual return,rr_AverageAnnualReturnSinceInception
13567,total annual fund operating expenses not correlate ratios of expenses average net assets given fund s recent annual report does not include acquired fund fees and expenses,rr_ExpensesNotCorrelatedToRatioDueToAcquiredFundFees
13568,bloomberg barclays taxable municipal u s aggregate eligible index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13569,bloomberg barclays taxable municipal u s aggregate eligible index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13570,bloomberg barclays taxable municipal u s aggregate eligible index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13571,s municipal bond investment grade index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13572,s municipal bond investment grade index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13573,s municipal bond investment grade index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13574,s municipal bond high yield index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13575,s municipal bond high yield index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13576,s municipal bond high yield index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13577,lipper alternative equity market neutral funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
13578,lipper alternative equity market neutral funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
13579,lipper alternative equity market neutral funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
13580,msci emerging markets value index reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13581,msci emerging markets value index reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13582,msci emerging markets value index reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13583,lipper emerging market funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
13584,lipper emerging market funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
13585,lipper emerging market funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
13586,lipper large cap value funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
13587,lipper large cap value funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
13588,lipper large cap value funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
13589,msci eafe value index reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13590,msci eafe value index reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13591,msci eafe value index reflects deductions fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13592,lipper international multi cap value funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
13593,lipper international multi cap value funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
13594,lipper international multi cap value funds average reflects deductions taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13595,lipper small cap value funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
13596,lipper small cap value funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
13597,lipper small cap value funds average reflects deductions taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13598,lipper large cap core funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
13599,lipper large cap core funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
13600,lipper large cap core funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
13601,lipper international multi cap core funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
13602,lipper international multi cap core funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
13603,lipper international multi cap core funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
13604,msci eafe hedged usd index reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13605,msci eafe hedged usd index reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13606,msci eafe hedged usd index reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13607,lipper specialty diversified equity funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
13608,lipper specialty diversified equity funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
13609,lipper specialty diversified equity funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
13610,lipper dedicated short bias fund average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
13611,lipper dedicated short bias fund average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
13612,lipper dedicated short bias fund average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
13613,lipper small cap core funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
13614,lipper small cap core funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
13615,lipper small cap core funds average reflects deductions taxes ten years average annual return,rr_AverageAnnualReturnYear10
13616,lipper california intermediate municipal debt funds average reflects deductions taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13617,bloomberg barclays california municipal bond index reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13618,class z with redemption end of period one year expense example,rr_ExpenseExampleYear01
13619,class z with redemption end of period three years expense example,rr_ExpenseExampleYear03
13620,class z with redemption end of period five years expense example,rr_ExpenseExampleYear05
13621,class z with redemption end of period ten years expense example,rr_ExpenseExampleYear10
13622,class z returns before taxes average annual total returns as of one year average annual return,rr_AverageAnnualReturnYear01
13623,class z returns before taxes average annual total returns as of five years average annual return,rr_AverageAnnualReturnYear05
13624,class z returns before taxes average annual total returns as of ten years average annual return,rr_AverageAnnualReturnYear10
13625,bloomberg commodity index total return reflects deductions fees expenses taxes life of fund average annual return,rr_AverageAnnualReturnSinceInception
13626,columbia variable portfolio core equity fund one year expense example,rr_ExpenseExampleNoRedemptionYear01
13627,columbia variable portfolio core equity fund three years expense example,rr_ExpenseExampleNoRedemptionYear03
13628,columbia variable portfolio core equity fund five years expense example,rr_ExpenseExampleNoRedemptionYear05
13629,columbia variable portfolio core equity fund ten years expense example,rr_ExpenseExampleNoRedemptionYear10
13630,columbia variable portfolio core equity fund inception date average annual return,rr_AverageAnnualReturnInceptionDate
13631,columbia variable portfolio core equity fund one year average annual return,rr_AverageAnnualReturnYear01
13632,columbia variable portfolio core equity fund five years average annual return,rr_AverageAnnualReturnYear05
13633,columbia variable portfolio core equity fund ten years average annual return,rr_AverageAnnualReturnYear10
13634,msci emerging markets index net reflects reinvested dividends net of withholding taxes reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13635,msci emerging markets index net reflects reinvested dividends net of withholding taxes reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13636,msci emerging markets index net reflects reinvested dividends net of withholding taxes reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13637,msci world information technology index net reflects reinvested dividends net of withholding taxes reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13638,msci world information technology index net reflects reinvested dividends net of withholding taxes reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13639,msci world information technology index net reflects reinvested dividends net of withholding taxes reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13640,ftse nareit equity reits index reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13641,msci eafe index net reflects reinvested dividends net of withholding taxes reflects deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13642,msci eafe index net reflects reinvested dividends net of withholding taxes reflects deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13643,msci eafe index net reflects reinvested dividends net of withholding taxes reflects deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13644,bloomberg barclays u s aggregate bond index reflects deductions fees expenses taxes life of fund average annual return,rr_AverageAnnualReturnSinceInception
13645,waiver expense reimbursement,rr_FeeWaiverOrReimbursementOverAssets
13646,expenses assuming redemption one year expense example,rr_ExpenseExampleYear01
13647,expenses assuming redemption three years expense example,rr_ExpenseExampleYear03
13648,expenses assuming redemption five years expense example,rr_ExpenseExampleYear05
13649,expenses assuming redemption ten years expense example,rr_ExpenseExampleYear10
13650,fund summary simplify growth equity plus upside convexity etf,rr_RiskReturnHeading
13651,equity income fund,rr_RiskReturnHeading
13652,lipper equity income funds index average annual return,rr_AverageAnnualReturnYear01
13653,blackrock high yield portfolio one year average annual return,rr_AverageAnnualReturnYear01
13654,blackrock high yield portfolio five years average annual return,rr_AverageAnnualReturnYear05
13655,blackrock high yield portfolio ten years average annual return,rr_AverageAnnualReturnYear10
13656,blackrock u s government bond portfolio one year average annual return,rr_AverageAnnualReturnYear01
13657,blackrock u s government bond portfolio five years average annual return,rr_AverageAnnualReturnYear05
13658,blackrock u s government bond portfolio ten years average annual return,rr_AverageAnnualReturnYear10
13659,bloomberg barclays u s government mortgage index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13660,bloomberg barclays u s government mortgage index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13661,bloomberg barclays u s government mortgage index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13662,bloomberg barclays u s mortgage backed securities index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13663,bloomberg barclays u s mortgage backed securities index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13664,bloomberg barclays u s mortgage backed securities index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13665,distribution and service 12b1 fees,rr_DistributionAndService12b1FeesOverAssets
13666,management fee restated reflect current fees,rr_ExpensesRestatedToReflectCurrent
13667,ice bofaml developed markets high yield constrained usd hedged index reflects deductions fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13668,lipper global high yield funds average reflects deductions taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13669,lipper loan participation funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
13670,lipper loan participation funds average reflects deductions taxes five years average annual return,rr_AverageAnnualReturnYear05
13671,lipper loan participation funds average reflects deductions taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13672,lipper flexible income funds average reflects deductions taxes one year average annual return,rr_AverageAnnualReturnYear01
13673,lipper flexible income funds average reflects deductions taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13674,expenses restated reflect current fees class and class shares,rr_ExpensesRestatedToReflectCurrent
13675,class k ten years average annual return,rr_AverageAnnualReturnYear10
13676,msci acwi ex usa index reflects deduction fees expenses taxes withholding taxes on reinvested dividends one year average annual return,rr_AverageAnnualReturnYear01
13677,msci acwi ex usa index reflects deduction fees expenses taxes withholding taxes on reinvested dividends five years average annual return,rr_AverageAnnualReturnYear05
13678,msci acwi ex usa index reflects deduction fees expenses taxes withholding taxes on reinvested dividends since inception average annual return,rr_AverageAnnualReturnSinceInception
13679,russell small cap completeness index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13680,russell small cap completeness index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13681,russell small cap completeness index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13682,xpenses based on estimates current fiscal year class and class shares,rr_OtherExpensesNewFundBasedOnEstimates
13683,msci emerging market index reflects deduction fees expenses taxes withholding taxes on reinvested dividends one year average annual return,rr_AverageAnnualReturnYear01
13684,msci emerging market index reflects deduction fees expenses taxes withholding taxes on reinvested dividends five years average annual return,rr_AverageAnnualReturnYear05
13685,msci emerging market index reflects deduction fees expenses taxes withholding taxes on reinvested dividends since inception average annual return,rr_AverageAnnualReturnSinceInception
13686,administrative shares inception date average annual return,rr_AverageAnnualReturnInceptionDate
13687,administration one year expense example,rr_ExpenseExampleYear01
13688,administration three years expense example,rr_ExpenseExampleYear03
13689,administration five years expense example,rr_ExpenseExampleYear05
13690,administration ten years expense example,rr_ExpenseExampleYear10
13691,investment one year expense example,rr_ExpenseExampleYear01
13692,investment three years expense example,rr_ExpenseExampleYear03
13693,investment five years expense example,rr_ExpenseExampleYear05
13694,investment ten years expense example,rr_ExpenseExampleYear10
13695,premier one year expense example,rr_ExpenseExampleYear01
13696,premier three years expense example,rr_ExpenseExampleYear03
13697,premier five years expense example,rr_ExpenseExampleYear05
13698,premier ten years expense example,rr_ExpenseExampleYear10
13699,premier class ten years since inception average annual return,rr_AverageAnnualReturnYear10
13700,investment class one year average annual return,rr_AverageAnnualReturnYear01
13701,investment class five years average annual return,rr_AverageAnnualReturnYear05
13702,investment class ten years since inception average annual return,rr_AverageAnnualReturnYear10
13703,investment class inception date average annual return,rr_AverageAnnualReturnInceptionDate
13704,institutional class ten years since inception average annual return,rr_AverageAnnualReturnYear10
13705,administration class one year average annual return,rr_AverageAnnualReturnYear01
13706,administration class five years average annual return,rr_AverageAnnualReturnYear05
13707,administration class ten years since inception average annual return,rr_AverageAnnualReturnYear10
13708,administration class inception date average annual return,rr_AverageAnnualReturnInceptionDate
13709,expenses restated reflect current fees class shares,rr_ExpensesRestatedToReflectCurrent
13710,state street target retirement composite index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13711,state street target retirement composite index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13712,state street target retirement composite index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13713,xpenses based on estimates current fiscal year,rr_OtherExpensesNewFundBasedOnEstimates
13714,class g one year average annual return,rr_AverageAnnualReturnYear01
13715,class g five years average annual return,rr_AverageAnnualReturnYear05
13716,class g since inception average annual return,rr_AverageAnnualReturnSinceInception
13717,class g inception date average annual return,rr_AverageAnnualReturnInceptionDate
13718,expenses based on estimates current fiscal year class and class k shares and restated reflect current fees class shares,rr_OtherExpensesNewFundBasedOnEstimates
13719,trust class one year average annual return,rr_AverageAnnualReturnYear01
13720,trust class since inception average annual return,rr_AverageAnnualReturnSinceInception
13721,trust class inception date average annual return,rr_AverageAnnualReturnInceptionDate
13722,administration class since inception average annual return,rr_AverageAnnualReturnSinceInception
13723,institutional class since inception average annual return,rr_AverageAnnualReturnSinceInception
13724,state street treasury obligations money market fund one year average annual return,rr_AverageAnnualReturnYear01
13725,state street treasury obligations money market fund since inception average annual return,rr_AverageAnnualReturnSinceInception
13726,state street treasury obligations money market fund inception date average annual return,rr_AverageAnnualReturnInceptionDate
13727,expense based on estimates current fiscal year administration and investment classes and restated reflect current fees institutional investor and premier classes,rr_OtherExpensesNewFundBasedOnEstimates
13728,msci china index reflects deduction fees expenses taxes withholding taxes on reinvested dividends one year average annual return,rr_AverageAnnualReturnYear01
13729,msci china index reflects deduction fees expenses taxes withholding taxes on reinvested dividends since inception average annual return,rr_AverageAnnualReturnSinceInception
13730,innovator u s equity accelerated etf quarterly,rr_RiskReturnHeading
13731,fs chiron capital allocation fund one year five years since inception average annual return,rr_AverageAnnualReturnInceptionDate
13732,fund returns before taxes fs chiron capital allocation fund average annual return,rr_AverageAnnualReturnLabel
13733,fund returns after taxes on distributions fs chiron capital allocation fund average annual return,rr_AverageAnnualReturnLabel
13734,fund returns after taxes on distributions and sale of fund shares fs chiron capital allocation fund average annual return,rr_AverageAnnualReturnLabel
13735,msci acwi net reflects deduction fees expenses taxes foreign withholding taxes fs chiron capital allocation fund average annual return,rr_AverageAnnualReturnLabel
13736,msci acwi net reflects deduction fees expenses taxes foreign withholding taxes one year average annual return,rr_AverageAnnualReturnYear01
13737,msci acwi net reflects deduction fees expenses taxes foreign withholding taxes five years average annual return,rr_AverageAnnualReturnYear05
13738,msci acwi net reflects deduction fees expenses taxes foreign withholding taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13739,bloomberg barclays u s aggregate total return index reflects deduction fees expenses taxes fs chiron capital allocation fund average annual return,rr_AverageAnnualReturnLabel
13740,bloomberg barclays u s aggregate total return index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13741,bloomberg barclays u s aggregate total return index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13742,bloomberg barclays u s aggregate total return index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13743,fs chiron capital allocation fund average annual return,rr_AverageAnnualReturnLabel
13744,fs chiron smid opportunities fund one year since inception average annual return,rr_AverageAnnualReturnInceptionDate
13745,fund returns before taxes fs chiron smid opportunities fund average annual return,rr_AverageAnnualReturnLabel
13746,fund returns after taxes on distributions fs chiron smid opportunities fund average annual return,rr_AverageAnnualReturnLabel
13747,fund returns after taxes on distributions and sale of fund shares fs chiron smid opportunities fund average annual return,rr_AverageAnnualReturnLabel
13748,msci acwi smid cap index net reflects deduction fees expenses taxes foreign withholding taxes fs chiron smid opportunities fund average annual return,rr_AverageAnnualReturnLabel
13749,msci acwi smid cap index net reflects deduction fees expenses taxes foreign withholding taxes one year average annual return,rr_AverageAnnualReturnYear01
13750,msci acwi smid cap index net reflects deduction fees expenses taxes foreign withholding taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13751,highest return q2,rr_HighestQuarterlyReturnLabel
13752,robo global robotics and automation index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
13753,robo global robotics and automation index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
13754,msci acwi index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
13755,lowest return q1,rr_LowestQuarterlyReturnLabel
13756,robo global healthcare technology and innovation index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
13757,robo global healthcare technology and innovation index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
13758,global x internet of things etf snsr,rr_RiskReturnHeading
13759,global x fintech etf finx,rr_RiskReturnHeading
13760,global x video games esports etf hero,rr_RiskReturnHeading
13761,global x autonomous electric vehicles etf driv,rr_RiskReturnHeading
13762,global x cloud computing etf clou,rr_RiskReturnHeading
13763,global x data center reits digital infrastructure etf vpn,rr_RiskReturnHeading
13764,global x china biotech innovation etf chb,rr_RiskReturnHeading
13765,global x telemedicine digital health etf edoc,rr_RiskReturnHeading
13766,global x aging population etf agng,rr_RiskReturnHeading
13767,global x health wellness etf bfit,rr_RiskReturnHeading
13768,global x cleantech etf ctec,rr_RiskReturnHeading
13769,global x thematic growth etf gxtg,rr_RiskReturnHeading
13770,global x emerging markets bond etf embd,rr_RiskReturnHeading
13771,global x wind energy etf wndy,rr_RiskReturnHeading
13772,global x solar etf rays as revised on as revised on,rr_RiskReturnHeading
13773,global x clean water etf aqwa,rr_RiskReturnHeading
13774,global x blockchain etf bkch,rr_RiskReturnHeading
13775,global x artificial intelligence technology etf aiq,rr_RiskReturnHeading
13776,global x education etf edut,rr_RiskReturnHeading
13777,global x china innovation etf keji,rr_RiskReturnHeading
13778,expenses class fi and class shares estimated current fiscal year actual expenses differ estimates,rr_OtherExpensesNewFundBasedOnEstimates
13779,bloomberg barclays oregon municipal bond index reflects deduction fees expenses taxes average annual total returns one year average annual return,rr_AverageAnnualReturnYear01
13780,bloomberg barclays oregon municipal bond index reflects deduction fees expenses taxes average annual total returns five years average annual return,rr_AverageAnnualReturnYear05
13781,bloomberg barclays oregon municipal bond index reflects deduction fees expenses taxes average annual total returns ten years average annual return,rr_AverageAnnualReturnYear10
13782,lipper states municipal debt funds category average reflects fees and expenses deduction sales charges taxes average annual total returns one year average annual return,rr_AverageAnnualReturnYear01
13783,lipper states municipal debt funds category average reflects fees and expenses deduction sales charges taxes average annual total returns five years average annual return,rr_AverageAnnualReturnYear05
13784,lipper states municipal debt funds category average reflects fees and expenses deduction sales charges taxes average annual total returns ten years average annual return,rr_AverageAnnualReturnYear10
13785,fund nationwide risk managed income etf,rr_RiskReturnHeading
13786,return before taxes templeton developing markets trust class average annual return,rr_AverageAnnualReturnLabel
13787,return after taxes on distributions templeton developing markets trust class average annual return,rr_AverageAnnualReturnLabel
13788,return after taxes on distributions and sale of fund shares templeton developing markets trust class average annual return,rr_AverageAnnualReturnLabel
13789,templeton developing markets trust class one year average annual return,rr_AverageAnnualReturnYear01
13790,templeton developing markets trust class five years average annual return,rr_AverageAnnualReturnYear05
13791,templeton developing markets trust class ten years average annual return,rr_AverageAnnualReturnYear10
13792,templeton developing markets trust class r one year average annual return,rr_AverageAnnualReturnYear01
13793,templeton developing markets trust class r five years average annual return,rr_AverageAnnualReturnYear05
13794,templeton developing markets trust class r ten years average annual return,rr_AverageAnnualReturnYear10
13795,templeton developing markets trust class r6 one year average annual return,rr_AverageAnnualReturnYear01
13796,templeton developing markets trust class r6 five years average annual return,rr_AverageAnnualReturnYear05
13797,templeton developing markets trust class r6 ten years average annual return,rr_AverageAnnualReturnYear10
13798,templeton developing markets trust advisor class one year average annual return,rr_AverageAnnualReturnYear01
13799,templeton developing markets trust advisor class five years average annual return,rr_AverageAnnualReturnYear05
13800,templeton developing markets trust advisor class ten years average annual return,rr_AverageAnnualReturnYear10
13801,bloomberg barclays municipal one year index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13802,bloomberg barclays municipal one year index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13803,bloomberg barclays municipal one year index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13804,s global clean energy index index returns not reflect deductions fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13805,s global clean energy index index returns not reflect deductions fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
13806,s global clean energy index index returns not reflect deductions fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
13807,sold not sold sold expense example,rr_ExpenseExampleNoRedemptionByYearCaption
13808,sold not sold expense example,rr_ExpenseExampleNoRedemptionByYearCaption
13809,annual fund operating expenses expenses pay year as percentage of value of investment r5,rr_OperatingExpensesCaption
13810,expenses as expected transfer agency expenses estimated year of operations of fund s class r5 shares,rr_OtherExpensesNewFundBasedOnEstimates
13811,buyz,rr_RiskReturnHeading
13812,return before taxes franklin liberty u s low volatility etf average annual return,rr_AverageAnnualReturnLabel
13813,return after taxes on distributions franklin liberty u s low volatility etf average annual return,rr_AverageAnnualReturnLabel
13814,return after taxes on distributions and sale of fund shares franklin liberty u s low volatility etf average annual return,rr_AverageAnnualReturnLabel
13815,return before taxes franklin liberty investment grade corporate etf average annual return,rr_AverageAnnualReturnLabel
13816,return after taxes on distributions franklin liberty investment grade corporate etf average annual return,rr_AverageAnnualReturnLabel
13817,return after taxes on distributions and sale of fund shares franklin liberty investment grade corporate etf average annual return,rr_AverageAnnualReturnLabel
13818,bloomberg barclays u s corporate investment grade index index reflects deduction fees expenses taxes franklin liberty investment grade corporate etf average annual return,rr_AverageAnnualReturnLabel
13819,bloomberg barclays u s corporate investment grade index index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
13820,bloomberg barclays u s corporate investment grade index index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13821,bloomberg barclays u s corporate investment grade index index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13822,return before taxes franklin liberty high yield corporate etf average annual return,rr_AverageAnnualReturnLabel
13823,return after taxes on distributions franklin liberty high yield corporate etf average annual return,rr_AverageAnnualReturnLabel
13824,return after taxes on distributions and sale of fund shares franklin liberty high yield corporate etf average annual return,rr_AverageAnnualReturnLabel
13825,ice bofa u s high yield constrained index index reflects deduction fees expenses taxes franklin liberty high yield corporate etf average annual return,rr_AverageAnnualReturnLabel
13826,ice bofa u s high yield constrained index index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
13827,ice bofa u s high yield constrained index index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13828,ice bofa u s high yield constrained index index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13829,return before taxes franklin liberty senior loan etf average annual return,rr_AverageAnnualReturnLabel
13830,return after taxes on distributions franklin liberty senior loan etf average annual return,rr_AverageAnnualReturnLabel
13831,return after taxes on distributions and sale of fund shares franklin liberty senior loan etf average annual return,rr_AverageAnnualReturnLabel
13832,return before taxes franklin liberty u s core bond etf average annual return,rr_AverageAnnualReturnLabel
13833,return after taxes on distributions franklin liberty u s core bond etf average annual return,rr_AverageAnnualReturnLabel
13834,return after taxes on distributions and sale of fund shares franklin liberty u s core bond etf average annual return,rr_AverageAnnualReturnLabel
13835,bloomberg barclays u s aggregate index index reflects deduction fees expenses taxes franklin liberty u s core bond etf average annual return,rr_AverageAnnualReturnLabel
13836,bloomberg barclays u s aggregate index index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
13837,return before taxes franklin liberty international aggregate bond etf average annual return,rr_AverageAnnualReturnLabel
13838,return after taxes on distributions franklin liberty international aggregate bond etf average annual return,rr_AverageAnnualReturnLabel
13839,return after taxes on distributions and sale of fund shares franklin liberty international aggregate bond etf average annual return,rr_AverageAnnualReturnLabel
13840,bloomberg barclays global aggregate ex usd index hedged usd index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
13841,bloomberg barclays global aggregate ex usd index hedged usd index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
13842,bloomberg barclays global aggregate ex usd index hedged usd index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
13843,return before taxes franklin liberty systematic style premia etf average annual return,rr_AverageAnnualReturnLabel
13844,return after taxes on distributions franklin liberty systematic style premia etf average annual return,rr_AverageAnnualReturnLabel
